repo,month,health_file_commit_count
three.js,2020-06,0
three.js,2020-07,2
three.js,2020-08,3
three.js,2020-09,2
three.js,2020-10,5
three.js,2020-11,3
three.js,2020-12,3
three.js,2021-01,4
three.js,2021-02,2
three.js,2021-03,1
three.js,2021-04,1
three.js,2021-05,1
three.js,2021-06,1
three.js,2021-07,0
three.js,2021-08,0
three.js,2021-09,0
three.js,2021-10,1
three.js,2021-11,5
three.js,2021-12,0
three.js,2022-01,5
three.js,2022-02,3
three.js,2022-03,0
three.js,2022-04,2
three.js,2022-05,0
three.js,2022-06,0
three.js,2022-07,1
three.js,2022-08,1
three.js,2022-09,0
three.js,2022-10,0
three.js,2022-11,1
three.js,2022-12,0
three.js,2023-01,3
three.js,2023-02,0
three.js,2023-03,0
three.js,2023-04,0
three.js,2023-05,0
three.js,2023-06,1
three.js,2023-07,0
three.js,2023-08,0
three.js,2023-09,0
three.js,2023-10,2
three.js,2023-11,0
three.js,2023-12,1
three.js,2024-01,0
three.js,2024-02,0
three.js,2024-03,0
three.js,2024-04,0
three.js,2024-05,2
three.js,2024-06,0
three.js,2024-07,0
three.js,2024-08,0
three.js,2024-09,0
three.js,2024-10,2
three.js,2024-11,0
three.js,2024-12,2
three.js,2025-01,1
three.js,2025-02,0
three.js,2025-03,0
three.js,2025-04,0
three.js,2025-05,3
three.js,2025-06,0
