repo,commit_sha,commit_date,health_file
protobuf,56dcd0d5848420fb81d60b612750e562b0f1834f,2026-03-16,SECURITY.md
protobuf,181675806987071b1a9af6e22b881cf9c3dca73e,2026-02-14,README.md
protobuf,ab964c0c80f92950902003d75b0f5e03bfadd201,2025-12-16,README.md
protobuf,85681719119fb5fe2e0c29a0db9350102882dd81,2025-07-30,CONTRIBUTING.md
protobuf,16ff41ecbeb62aaa86c1fda4a54fef3784563add,2025-01-27,README.md
protobuf,d59a9e130e907f6acea1b9d78fc120e99e654b56,2024-11-27,README.md
protobuf,53ad6a4478b9c206c734b15994f495a12d36f992,2024-03-06,README.md
protobuf,30a7b2372402bacaf757cf5f4a7c502bd4f4207f,2023-09-26,README.md
protobuf,f7de3bf1a9206bd62176092944e5ba4c1375fbd8,2023-09-14,README.md
protobuf,3c3dfe0efa859563e1fdbe51badd0ebf74760ff9,2023-07-18,README.md
protobuf,3e6dba700f8af1445aad105917043e6c7a804c38,2023-06-15,README.md
protobuf,23d8aacc551bb10694e6b32a74c885b64d9e1501,2023-02-09,README.md
protobuf,c2da35d619d5ebb483a774872168656abbcb53a8,2023-01-20,CONTRIBUTING.md
protobuf,c2da35d619d5ebb483a774872168656abbcb53a8,2023-01-20,LICENSE
protobuf,c2da35d619d5ebb483a774872168656abbcb53a8,2023-01-20,README.md
protobuf,10b8034be61391ec2799035075c63a03db478a62,2022-12-01,CODE_OF_CONDUCT.md
protobuf,016ef2393e163cb8a49186adab8e2981476eec37,2022-11-23,README.md
protobuf,d083ec5efc3a2916e4b9fe5c2587be72ac8a2063,2022-11-23,README.md
protobuf,4c8a128e141ebda5abca3aa49bb34c21c0128f40,2022-11-22,README.md
protobuf,e79e3dbfd76883325fa89ce9cdf8bb81c1a0e76e,2022-10-01,README.md
protobuf,e58ff9821b534d1f5bdd8af4a8ceeba661ac9b50,2022-08-30,README.md
protobuf,ed5c57a574aa24bc49432baced51aa6d01fbf38a,2022-08-11,README.md
protobuf,1cb0d645db44633d937e9a20143484b68b879d0f,2022-07-17,README.md
protobuf,860f8ad1718b69777ea665697dee4cfc93eca853,2022-04-28,README.md
protobuf,5abf802bc2c412bb6e7c1f0c81a0c41957adaf85,2022-04-12,CONTRIBUTING.md
protobuf,5abf802bc2c412bb6e7c1f0c81a0c41957adaf85,2022-04-12,README.md
protobuf,dce403a8b3fe23f812f2d5a841a1d63ac27c0702,2022-02-09,CONTRIBUTORS.txt
protobuf,937b56f57bb74ce3348893c71c20b846d9da25cd,2022-02-03,CONTRIBUTORS.txt
