repo,month,health_file_commit_count
Vue-core,2016-05,0
Vue-core,2016-06,0
Vue-core,2016-07,0
Vue-core,2016-08,0
Vue-core,2016-09,0
Vue-core,2016-10,0
Vue-core,2016-11,0
Vue-core,2016-12,0
Vue-core,2017-01,0
Vue-core,2017-02,0
Vue-core,2017-03,0
Vue-core,2017-04,0
Vue-core,2017-05,0
Vue-core,2017-06,0
Vue-core,2017-07,0
Vue-core,2017-08,0
Vue-core,2017-09,0
Vue-core,2017-10,0
Vue-core,2017-11,0
Vue-core,2017-12,0
Vue-core,2018-01,0
Vue-core,2018-02,0
Vue-core,2018-03,0
Vue-core,2018-04,0
Vue-core,2018-05,0
Vue-core,2018-06,0
Vue-core,2018-07,0
Vue-core,2018-08,0
Vue-core,2018-09,0
Vue-core,2018-10,0
Vue-core,2018-11,0
Vue-core,2018-12,0
Vue-core,2019-01,0
Vue-core,2019-02,0
Vue-core,2019-03,0
Vue-core,2019-04,0
Vue-core,2019-05,0
Vue-core,2019-06,0
Vue-core,2019-07,0
Vue-core,2019-08,2
Vue-core,2019-09,1
Vue-core,2019-10,10
Vue-core,2019-11,2
Vue-core,2019-12,8
Vue-core,2020-01,9
Vue-core,2020-02,9
Vue-core,2020-03,6
Vue-core,2020-04,19
Vue-core,2020-05,13
Vue-core,2020-06,7
Vue-core,2020-07,20
Vue-core,2020-08,7
Vue-core,2020-09,10
Vue-core,2020-10,3
Vue-core,2020-11,2
Vue-core,2020-12,3
Vue-core,2021-01,1
Vue-core,2021-02,3
Vue-core,2021-03,5
Vue-core,2021-04,2
Vue-core,2021-05,7
Vue-core,2021-06,5
Vue-core,2021-07,11
Vue-core,2021-08,9
Vue-core,2021-09,14
Vue-core,2021-10,5
Vue-core,2021-11,3
Vue-core,2021-12,4
Vue-core,2022-01,6
Vue-core,2022-02,10
Vue-core,2022-03,0
Vue-core,2022-04,2
Vue-core,2022-05,9
Vue-core,2022-06,1
Vue-core,2022-07,0
Vue-core,2022-08,1
Vue-core,2022-09,4
Vue-core,2022-10,2
Vue-core,2022-11,10
Vue-core,2022-12,1
Vue-core,2023-01,1
Vue-core,2023-02,9
Vue-core,2023-03,4
Vue-core,2023-04,10
Vue-core,2023-05,10
Vue-core,2023-06,2
Vue-core,2023-07,1
Vue-core,2023-08,1
Vue-core,2023-09,1
Vue-core,2023-10,7
Vue-core,2023-11,6
Vue-core,2023-12,22
Vue-core,2024-01,14
Vue-core,2024-02,6
Vue-core,2024-03,0
Vue-core,2024-04,9
Vue-core,2024-05,2
Vue-core,2024-06,7
Vue-core,2024-07,8
Vue-core,2024-08,14
Vue-core,2024-09,12
Vue-core,2024-10,2
Vue-core,2024-11,1
Vue-core,2024-12,0
Vue-core,2025-01,0
Vue-core,2025-02,0
Vue-core,2025-03,2
Vue-core,2025-04,2
Vue-core,2025-05,5
Vue-core,2025-06,1
Vue-core,2025-07,1
Vue-core,2025-08,2
Vue-core,2025-09,3
Vue-core,2025-10,0
Vue-core,2025-11,3
Vue-core,2025-12,3
Vue-core,2026-01,4
Vue-core,2026-02,4
Vue-core,2026-03,2
Vue-core,2026-04,2
Vue-core,2026-05,3
