repo,month,health_file_commit_count
kafka,2016-05,0
kafka,2016-06,1
kafka,2016-07,0
kafka,2016-08,0
kafka,2016-09,2
kafka,2016-10,0
kafka,2016-11,1
kafka,2016-12,1
kafka,2017-01,1
kafka,2017-02,3
kafka,2017-03,1
kafka,2017-04,1
kafka,2017-05,1
kafka,2017-06,0
kafka,2017-07,0
kafka,2017-08,2
kafka,2017-09,0
kafka,2017-10,0
kafka,2017-11,3
kafka,2017-12,1
kafka,2018-01,0
kafka,2018-02,1
kafka,2018-03,0
kafka,2018-04,0
kafka,2018-05,1
kafka,2018-06,0
kafka,2018-07,0
kafka,2018-08,0
kafka,2018-09,3
kafka,2018-10,2
kafka,2018-11,1
kafka,2018-12,1
kafka,2019-01,1
kafka,2019-02,0
kafka,2019-03,0
kafka,2019-04,1
kafka,2019-05,0
kafka,2019-06,2
kafka,2019-07,0
kafka,2019-08,0
kafka,2019-09,0
kafka,2019-10,0
kafka,2019-11,2
kafka,2019-12,1
kafka,2020-01,1
kafka,2020-02,1
kafka,2020-03,1
kafka,2020-04,3
kafka,2020-05,1
kafka,2020-06,1
kafka,2020-07,2
kafka,2020-08,1
kafka,2020-09,3
kafka,2020-10,0
kafka,2020-11,0
kafka,2020-12,1
kafka,2021-01,0
kafka,2021-02,1
kafka,2021-03,5
kafka,2021-04,2
kafka,2021-05,1
kafka,2021-06,0
kafka,2021-07,3
kafka,2021-08,0
kafka,2021-09,1
kafka,2021-10,1
kafka,2021-11,0
kafka,2021-12,0
kafka,2022-01,1
kafka,2022-02,2
kafka,2022-03,2
kafka,2022-04,0
kafka,2022-05,0
kafka,2022-06,0
kafka,2022-07,0
kafka,2022-08,0
kafka,2022-09,0
kafka,2022-10,3
kafka,2022-11,0
kafka,2022-12,1
kafka,2023-01,1
kafka,2023-02,0
kafka,2023-03,1
kafka,2023-04,0
kafka,2023-05,0
kafka,2023-06,0
kafka,2023-07,2
kafka,2023-08,0
kafka,2023-09,1
kafka,2023-10,0
kafka,2023-11,0
kafka,2023-12,0
kafka,2024-01,2
kafka,2024-02,0
kafka,2024-03,2
kafka,2024-04,0
kafka,2024-05,0
kafka,2024-06,3
kafka,2024-07,0
kafka,2024-08,0
kafka,2024-09,0
kafka,2024-10,4
kafka,2024-11,4
kafka,2024-12,7
kafka,2025-01,5
kafka,2025-02,3
kafka,2025-03,1
kafka,2025-04,3
kafka,2025-05,0
kafka,2025-06,0
kafka,2025-07,0
kafka,2025-08,2
kafka,2025-09,0
kafka,2025-10,4
kafka,2025-11,2
kafka,2025-12,0
kafka,2026-01,2
kafka,2026-02,1
kafka,2026-03,0
kafka,2026-04,1
kafka,2026-05,0
