repo,commit_sha,commit_date,health_file
react,4db4b21c63ebc4edc508c5f7674f9df50d8f9744,2025-06-26,CHANGELOG.md
react,6377903074d4b3a2de48c4da91783a5af9fc5237,2025-03-28,CHANGELOG.md
react,095ce8a31100e7b0021470c3e0d790da6c8dbeee,2025-03-28,CHANGELOG.md
react,18a11339c3db7bdaecaa2d963ab066dc8c84f70c,2025-03-28,CHANGELOG.md
react,d726d692ed896c34fc320f633f07699a415381fa,2025-03-28,CHANGELOG.md
react,d676c047b1463169efafc946fba3182c1809651a,2025-01-27,MAINTAINERS
react,ddc26c9db16a7be2f05eacc6f0228f42eeff3803,2025-01-27,MAINTAINERS
react,91add7bbdc1a06f9c6b71f3b41590266481b56cc,2025-01-16,MAINTAINERS
react,5a274a37e05ba627e3e9c8a1000bee881aeaef1c,2025-01-16,MAINTAINERS
react,af4987e19f0530cfd9f06b95680db7d02acacbd7,2025-01-16,MAINTAINERS
react,7283a213dbbc31029e65005276f12202558558fc,2024-12-06,CHANGELOG.md
react,65ba3e87e49f7ea1bac04e1ed938debdbafcf30a,2024-12-06,CHANGELOG.md
react,c56c6234328a29930487295afe61597db48f058c,2024-12-05,CHANGELOG.md
react,d27fa084f66b2e47933e7760a1e78c6d101dda5b,2024-12-05,CHANGELOG.md
react,52685a75039846fafec16d174e743d4525591ce7,2024-12-05,CHANGELOG.md
react,4e482f490405c0c601d8712a0625fd17c04978e4,2024-07-29,README.md
react,080e36c973c6f7a3a884315eae41eb3ee8ef4978,2024-07-16,README.md
react,f74c5ccf9469d3389ce3a1ee3b54988049e235f7,2024-05-19,README.md
react,ccb06b0585a12aa5310d2994d373037ebd81bd7a,2024-05-19,README.md
react,4ddff7355f696ec693c5ce2bda4e7707020c3510,2024-04-26,CHANGELOG.md
react,95e610da13e50c2cb92e003dd7dbfa4a8262bdd2,2024-04-26,CHANGELOG.md
react,fd35655fae9f88284e01754cadb0707abaca795b,2024-04-15,AUTHORS
react,850fac4915864a487e7cb9ecae8a75dbac144174,2024-03-06,README.md
react,8b1547b671f9ea9a2db38f2404557fb59b84afc0,2023-12-16,README.md
react,60ad3693a554f24b116f3f9afdb171fb4beb6d02,2023-11-30,README.md
react,a20eea25197df0da80104917df414747eeab1ac9,2023-08-09,README.md
react,c8369527efe0cdd1f95bb355c0616166a7816e1c,2023-04-21,README.md
react,2f401701921d13ab65e2a2ee1c96caa94f426442,2023-02-16,.github/PULL_REQUEST_TEMPLATE.md
react,b0671f9ea03133298144f169f1062d274f7f57c0,2023-01-30,CHANGELOG.md
react,726a40eded10172e94678c93f6c24901201de4c3,2022-12-23,CHANGELOG.md
react,9cdf8a99edcfd94d7420835ea663edca04237527,2022-10-18,LICENSE
react,2d80a0cd690bb5650b6c8a6c079a87b5dc42bd15,2022-10-03,CONTRIBUTING.md
react,81b79c7c2966d08eb74954805394fe6cb290b796,2022-09-06,README.md
react,7a227276e653b481b73ed9e9178244b53d61f730,2022-08-10,CODE_OF_CONDUCT.md
react,17e2a15bea2df9232411a35c6d967fa18f6e8b25,2022-08-08,CODE_OF_CONDUCT.md
react,17e2a15bea2df9232411a35c6d967fa18f6e8b25,2022-08-08,README.md
react,256aefbea1449869620fb26f6ec695536ab453f5,2022-06-14,CHANGELOG.md
react,89bae8f371eb2cf49dbe310ec7f04d0e52e32f98,2022-06-14,CHANGELOG.md
react,be229c5655074642ee664f532f2e7411dd7dccc7,2022-06-13,CHANGELOG.md
react,340060cccd21b47f364646c894a3406b0f0341ba,2022-04-28,CHANGELOG.md
react,9f80a48ad464c9240ea7f9d3f37251559cf7fe7e,2022-04-27,CHANGELOG.md
react,d78460490be08435ee50025ea792ec4d5a5a999e,2022-04-26,CHANGELOG.md
react,9c25728d10dac574761359f359e34ca1010a8b11,2022-04-26,CHANGELOG.md
react,e912da964dbf5f84bf8c4e78e0ac218362bc074e,2022-04-03,README.md
react,a0fb3cf37ec6e81de7b7b1ca01b2cc560231e0c1,2022-03-30,CHANGELOG.md
react,cfc76b46582b6614aa1db191734c75ca58c8dacd,2022-03-30,CHANGELOG.md
react,8acc812c673023ad9b3d5940e94584254a46af2d,2022-03-29,CHANGELOG.md
react,509d2d906591b0fd364b2853433a4fe5b111bf02,2022-03-29,CHANGELOG.md
react,2ed58eb889b2b2a8a745ec6c73785f8a87034d1f,2022-01-27,README.md
react,ec4ac97500e850a90f837668a261533e780f40f4,2021-09-30,README.md
react,771da6e27ba196cd0c5f3472164a0221b4d8a690,2021-09-07,.github/PULL_REQUEST_TEMPLATE.md
react,6f64eb5aa0cd8d56e71cb3338c9bc49c9d5f32d2,2021-09-06,.github/PULL_REQUEST_TEMPLATE.md
react,cdb08ebe0ac18b5afe1b5b587e8d0968bb754a60,2021-09-06,.github/PULL_REQUEST_TEMPLATE.md
react,d483463bc86555decb3e8caa18459d1d0f7c0148,2021-06-29,.github/PULL_REQUEST_TEMPLATE.md
react,d483463bc86555decb3e8caa18459d1d0f7c0148,2021-06-29,CHANGELOG.md
react,d483463bc86555decb3e8caa18459d1d0f7c0148,2021-06-29,README.md
react,ea155e2267b3e4fd958d174f8f0e2b09b1c8ecf2,2021-04-13,CODE_OF_CONDUCT.md
react,0e96bdd4eefa0771fe1e7747bb79fd3c0e612b9c,2021-03-31,AUTHORS
react,7c4e6aae3ef4e77596125f30b801c84800e949a9,2021-03-22,CHANGELOG.md
react,cc1a46dfd220edf2e5f001cbd5ba5fa049dc09b2,2021-03-22,CHANGELOG.md
react,67e84198239c3734784c9604d23c93af37b3cb27,2021-02-11,AUTHORS
react,eaaf4cbce76db03850401fa6a2dcb9cabbcdf3c3,2020-10-22,CHANGELOG.md
react,a50f638b064f109c33d3189f9ed6419e700de0f8,2020-10-20,CHANGELOG.md
react,46ed2684718d160b06cf6e4f5f5ecf70c7b8974c,2020-10-20,CHANGELOG.md
react,b5eabd543f4a6c9d950f1bb5ec73da5a1c7c5caa,2020-10-14,CHANGELOG.md
react,880587366d84f9d36dd606088bc7bad050ead77e,2020-10-14,.github/PULL_REQUEST_TEMPLATE.md
react,f46a80ae11ce606e5dc148f9399bef7c60a755a2,2020-10-09,CHANGELOG.md
react,7b0ef42bccb58c78237702149707557554988a05,2020-07-08,README.md
react,e18fb91852cc9386abc234c660f4c03903a4d663,2020-07-08,README.md
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,.github/PULL_REQUEST_TEMPLATE.md
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,AUTHORS
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,CHANGELOG.md
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,CODE_OF_CONDUCT.md
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,CONTRIBUTING.md
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,LICENSE
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,README.md
react,f918b0eb41e0eabb8e4dc2bcd20fb8a25654d68f,2020-07-01,SECURITY.md
