repo,commit_sha,commit_date,health_file
youtube-dl,2a4e9faa773cce60e82453cb32f13e48513c4a46,2023-07-25,README.md
youtube-dl,8c86fd33dca48ebb505ed04150d9e35993b9fe7e,2023-03-09,README.md
youtube-dl,27d41d73655b8fbf2dedf88cac96220520d526b5,2023-03-07,README.md
youtube-dl,297fbff23b347612a5f6002b40adba9dfad85413,2023-02-02,README.md
youtube-dl,9aa8e5340f3d5ece372b983f8e399277ca1f1fe4,2022-05-30,CONTRIBUTING.md
youtube-dl,e988fa4523e489596a2a27c4d45275e44db49406,2022-04-29,README.md
youtube-dl,5014bd67c22b421207b2650d4dc874b95b36dda1,2021-12-16,ChangeLog
youtube-dl,e41882335066ed03b1f4837e72fc0e83dfbe3525,2021-12-16,ChangeLog
youtube-dl,c2350cac243ba1ec1586fe85b0d62d1b700047a2,2021-06-05,README.md
youtube-dl,b224cf39d53bd16bcfda2ac493712c3ff449ecb8,2021-06-05,ChangeLog
youtube-dl,5f85eb820cb7eb89dcb567f9cbfefb5d9038b9c0,2021-06-05,ChangeLog
youtube-dl,f47627a1c9a790fac29d5c166bc0f7944fcb1a98,2021-05-16,ChangeLog
youtube-dl,f47627a1c9a790fac29d5c166bc0f7944fcb1a98,2021-05-16,README.md
youtube-dl,efeb9e0fbf1e33043c19dbfda9d12984bf0c6e34,2021-05-16,ChangeLog
youtube-dl,273964d190fb048477e71114c4734fcb819c5c16,2021-04-25,ChangeLog
youtube-dl,346dd3b5e87503c52fc6800d9f73cd6bdbce71bc,2021-04-25,ChangeLog
youtube-dl,596b26606cfe20aa9f776ac0658b6bfb1ea95397,2021-04-16,ChangeLog
youtube-dl,f20b505b46e6654464635ca4afb0f37e1f14c57b,2021-04-16,ChangeLog
youtube-dl,72a2c0a9ede04c6b82235e453b1a933faf072a76,2021-04-06,ChangeLog
youtube-dl,445db582a27c44cb02d57ac9171d58651cafbd76,2021-04-06,ChangeLog
youtube-dl,ca304beb1538e54c5a18fdd50846ed2259d63b8c,2021-03-31,ChangeLog
youtube-dl,e789bb1aa4cb627d3d7ca79a5e5daa8d2f58cda6,2021-03-31,ChangeLog
youtube-dl,8f493de9fb3a7f123bdf887163efa06ce9d6b051,2021-03-30,ChangeLog
youtube-dl,207bc35d348efdfdfe2bd7119e004a1acf0ab3d2,2021-03-30,ChangeLog
youtube-dl,76da1c954aebba4af8def73dd2319fab2e27e50a,2021-03-24,ChangeLog
youtube-dl,c2fbfb49da2657002fafcf4c609f8d91030a6ef3,2021-03-24,ChangeLog
youtube-dl,ebfd66c4b1d6ffabd8a5bc52737f2bacac341d3d,2021-03-14,ChangeLog
youtube-dl,b509d24b2fef8d5994b7d925db51befcbbf996fb,2021-03-14,ChangeLog
youtube-dl,f68692b004f1c65f08a9a7d9c2ee4ab2ec255ea6,2021-03-03,ChangeLog
youtube-dl,8c9766f4bf78ca777e8de9d4809584d8e88098ab,2021-03-03,ChangeLog
youtube-dl,7c06216abff092d43e47b584699d435c40a8115e,2021-03-01,ChangeLog
youtube-dl,0002888627b40264994e8a37fc3a17cbd3551af6,2021-03-01,ChangeLog
youtube-dl,0a04e03a0245d78593844e7b7930920051b9cc27,2021-02-21,ChangeLog
youtube-dl,44b2d5f5fc80a291b093c8bf20e2ad7ac58b3536,2021-02-21,ChangeLog
youtube-dl,360d5f0daac879a1371c6a45e0d3310ced60e352,2021-02-10,ChangeLog
youtube-dl,cd493c5adcb526cdfa2a9d5194269b671a0dc343,2021-02-10,ChangeLog
youtube-dl,a4bdc3112bf0e925afc2e512d5f23f9097f6bc7a,2021-02-04,ChangeLog
youtube-dl,c7d407bca205d8eb248b94b611435187265b79da,2021-02-04,ChangeLog
youtube-dl,cfefb7d854f87e02c971170fcfa08f3ff2cb1bfa,2021-02-03,ChangeLog
youtube-dl,3c07d007ca5376719a0cfe6b9c6627b38cbd3e1f,2021-02-03,ChangeLog
youtube-dl,1e2575df8714ce9056e559058a187ec0ffd2d739,2021-02-02,AUTHORS
youtube-dl,811a183eb6a7dabcc8600f6bf9dc4aac11e72b26,2021-01-24,ChangeLog
youtube-dl,186cbaffb954f00c4ff1f58f9fe378c65b4ef87b,2021-01-24,ChangeLog
youtube-dl,186cbaffb954f00c4ff1f58f9fe378c65b4ef87b,2021-01-24,README.md
youtube-dl,dbf3fa8af67dfdab42d56fdc5f35610658bc2746,2021-01-24,ChangeLog
youtube-dl,142c584063ec02406e636522fe11d0d2be22b299,2021-01-22,README.md
youtube-dl,ef50cb3fda7c5455b036df648319c2829d899d7d,2021-01-16,ChangeLog
youtube-dl,8673f4344c40bf771af5344113b184f5cef08030,2021-01-16,ChangeLog
youtube-dl,bf6a74c620bd4d5726503c5302906bb36b009026,2021-01-08,ChangeLog
youtube-dl,38a967c98ea98524e24a36ca4a9f1d1e891f7887,2021-01-08,ChangeLog
youtube-dl,8e953dcbb10a1a42f4e12e4e132657cb0100a1f8,2021-01-03,ChangeLog
youtube-dl,f4afb9a6a8832c48888956d1e8722cb5bd36a78e,2021-01-03,ChangeLog
youtube-dl,4066945919a3f51a01f551ade8957f4856c67e65,2020-12-30,ChangeLog
youtube-dl,2a84694b1e8d91b271eb5bb74b9d63cbfcc58cbe,2020-12-30,ChangeLog
youtube-dl,9c1e164e0cd77331ea4f0b474b32fd06f84bad71,2020-12-29,README.md
youtube-dl,479cc6d5a166dc2f250687616041c9f3b36c80b4,2020-12-28,ChangeLog
youtube-dl,38286ee729782e2d094c64190c7612663c40c2d7,2020-12-28,ChangeLog
youtube-dl,365b3cc72dc265d20ece3e57f6abe590eb026544,2020-12-26,ChangeLog
youtube-dl,a272fe21a838be843a2d35f0161b75f23edab70b,2020-12-26,ChangeLog
youtube-dl,bbe8cc6662ce870b2efee5d2a3fceab39e1a3c2c,2020-12-26,README.md
youtube-dl,08a17dae5b66b288744d741d84782118880e0335,2020-12-21,ChangeLog
youtube-dl,924ea66ade51a0cdd96c5bdbafc162bedc81a482,2020-12-21,ChangeLog
youtube-dl,a8b31505edbf4d9608b2d964b936b6720dcbb40d,2020-12-19,README.md
youtube-dl,755f186e213f0976bf9a3ceb4eb99e29ad1253c8,2020-12-13,ChangeLog
youtube-dl,2240a1dc4d9b7fb63499ea5bd8be9e724799112a,2020-12-13,ChangeLog
youtube-dl,ace52668f0c9d23bc8d2e2a51d50d03b1b96c90e,2020-12-13,.github/PULL_REQUEST_TEMPLATE.md
youtube-dl,3cb1a5dc73f934f1810852d12971f99ab32f6c96,2020-12-12,ChangeLog
youtube-dl,3cb1a5dc73f934f1810852d12971f99ab32f6c96,2020-12-12,README.md
youtube-dl,ed40c02c9b2d2c022bd9d1b9ab2906c80e9118af,2020-12-12,ChangeLog
youtube-dl,772cefef8c9bf467089e65a6890660ca9bfd83b8,2020-12-09,ChangeLog
youtube-dl,842654b6d03085661dfc5a6a57004123a1a9d35f,2020-12-09,README.md
youtube-dl,9da0504a09f28ca4ffc92217fa347288e5a4b7ac,2020-12-08,ChangeLog
youtube-dl,2717036489924fce092db593fb769d2f20179e05,2020-12-06,ChangeLog
