repo,month,health_file_commit_count
reveal.js,2020-06,1
reveal.js,2020-07,1
reveal.js,2020-08,2
reveal.js,2020-09,2
reveal.js,2020-10,0
reveal.js,2020-11,0
reveal.js,2020-12,0
reveal.js,2021-01,0
reveal.js,2021-02,0
reveal.js,2021-03,0
reveal.js,2021-04,0
reveal.js,2021-05,1
reveal.js,2021-06,0
reveal.js,2021-07,0
reveal.js,2021-08,0
reveal.js,2021-09,0
reveal.js,2021-10,0
reveal.js,2021-11,2
reveal.js,2021-12,6
reveal.js,2022-01,2
reveal.js,2022-02,0
reveal.js,2022-03,0
reveal.js,2022-04,1
reveal.js,2022-05,1
reveal.js,2022-06,0
reveal.js,2022-07,0
reveal.js,2022-08,0
reveal.js,2022-09,1
reveal.js,2022-10,0
reveal.js,2022-11,0
reveal.js,2022-12,0
reveal.js,2023-01,1
reveal.js,2023-02,0
reveal.js,2023-03,0
reveal.js,2023-04,0
reveal.js,2023-05,0
reveal.js,2023-06,0
reveal.js,2023-07,0
reveal.js,2023-08,0
reveal.js,2023-09,0
reveal.js,2023-10,0
reveal.js,2023-11,0
reveal.js,2023-12,0
reveal.js,2024-01,1
reveal.js,2024-02,0
reveal.js,2024-03,0
reveal.js,2024-04,0
reveal.js,2024-05,0
reveal.js,2024-06,0
reveal.js,2024-07,0
reveal.js,2024-08,0
reveal.js,2024-09,0
reveal.js,2024-10,0
reveal.js,2024-11,0
reveal.js,2024-12,0
reveal.js,2025-01,0
reveal.js,2025-02,0
reveal.js,2025-03,2
reveal.js,2025-04,0
reveal.js,2025-05,0
reveal.js,2025-06,0
