repo,month,health_file_commit_count
spring-framework,2020-06,0
spring-framework,2020-07,2
spring-framework,2020-08,0
spring-framework,2020-09,0
spring-framework,2020-10,0
spring-framework,2020-11,0
spring-framework,2020-12,0
spring-framework,2021-01,2
spring-framework,2021-02,2
spring-framework,2021-03,1
spring-framework,2021-04,0
spring-framework,2021-05,0
spring-framework,2021-06,1
spring-framework,2021-07,0
spring-framework,2021-08,0
spring-framework,2021-09,0
spring-framework,2021-10,3
spring-framework,2021-11,0
spring-framework,2021-12,0
spring-framework,2022-01,0
spring-framework,2022-02,0
spring-framework,2022-03,0
spring-framework,2022-04,0
spring-framework,2022-05,0
spring-framework,2022-06,0
spring-framework,2022-07,1
spring-framework,2022-08,0
spring-framework,2022-09,1
spring-framework,2022-10,0
spring-framework,2022-11,1
spring-framework,2022-12,0
spring-framework,2023-01,0
spring-framework,2023-02,0
spring-framework,2023-03,2
spring-framework,2023-04,1
spring-framework,2023-05,0
spring-framework,2023-06,0
spring-framework,2023-07,2
spring-framework,2023-08,0
spring-framework,2023-09,0
spring-framework,2023-10,0
spring-framework,2023-11,0
spring-framework,2023-12,2
spring-framework,2024-01,1
spring-framework,2024-02,1
spring-framework,2024-03,2
spring-framework,2024-04,0
spring-framework,2024-05,0
spring-framework,2024-06,2
spring-framework,2024-07,0
spring-framework,2024-08,0
spring-framework,2024-09,1
spring-framework,2024-10,4
spring-framework,2024-11,0
spring-framework,2024-12,0
spring-framework,2025-01,3
spring-framework,2025-02,0
spring-framework,2025-03,0
spring-framework,2025-04,0
spring-framework,2025-05,0
spring-framework,2025-06,0
