repo,month,health_file_commit_count
go-ethereum,2020-06,0
go-ethereum,2020-07,2
go-ethereum,2020-08,0
go-ethereum,2020-09,1
go-ethereum,2020-10,0
go-ethereum,2020-11,0
go-ethereum,2020-12,2
go-ethereum,2021-01,2
go-ethereum,2021-02,1
go-ethereum,2021-03,0
go-ethereum,2021-04,1
go-ethereum,2021-05,0
go-ethereum,2021-06,1
go-ethereum,2021-07,1
go-ethereum,2021-08,1
go-ethereum,2021-09,1
go-ethereum,2021-10,1
go-ethereum,2021-11,0
go-ethereum,2021-12,3
go-ethereum,2022-01,2
go-ethereum,2022-02,0
go-ethereum,2022-03,1
go-ethereum,2022-04,2
go-ethereum,2022-05,2
go-ethereum,2022-06,2
go-ethereum,2022-07,0
go-ethereum,2022-08,1
go-ethereum,2022-09,1
go-ethereum,2022-10,0
go-ethereum,2022-11,1
go-ethereum,2022-12,0
go-ethereum,2023-01,3
go-ethereum,2023-02,3
go-ethereum,2023-03,2
go-ethereum,2023-04,0
go-ethereum,2023-05,0
go-ethereum,2023-06,1
go-ethereum,2023-07,0
go-ethereum,2023-08,0
go-ethereum,2023-09,0
go-ethereum,2023-10,0
go-ethereum,2023-11,0
go-ethereum,2023-12,0
go-ethereum,2024-01,3
go-ethereum,2024-02,0
go-ethereum,2024-03,1
go-ethereum,2024-04,0
go-ethereum,2024-05,0
go-ethereum,2024-06,0
go-ethereum,2024-07,1
go-ethereum,2024-08,2
go-ethereum,2024-09,0
go-ethereum,2024-10,1
go-ethereum,2024-11,1
go-ethereum,2024-12,0
go-ethereum,2025-01,2
go-ethereum,2025-02,2
go-ethereum,2025-03,0
go-ethereum,2025-04,0
go-ethereum,2025-05,2
go-ethereum,2025-06,0
